lang,auc,mrr,ndcg@5,ndcg@10
en,0.6045,0.3073,0.2859,0.3519
zho,0.5205,0.2511,0.2346,0.2977
fin,0.4951,0.2254,0.2077,0.2722
grn,0.5327,0.2587,0.2466,0.3061
hat,0.5555,0.2634,0.2497,0.3119
ind,0.5371,0.2934,0.2718,0.3293
jpn,0.5507,0.2589,0.2451,0.3094
kat,0.4911,0.2635,0.2346,0.2957
ron,0.532,0.2536,0.2369,0.2996
som,0.514,0.2354,0.2151,0.2811
swh,0.5208,0.2433,0.2297,0.2891
tam,0.5037,0.2438,0.2293,0.288
tha,0.5042,0.2373,0.2163,0.2811
tur,0.5295,0.2665,0.2535,0.3112
vie,0.5228,0.2542,0.2395,0.2981
